City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Seoul,KR,69.24,clear sky,37.5683,126.9778,LOTTE HOTEL SEOUL
1,Saldanha,ZA,69.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
3,Hirara,JP,81.59,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
4,Rikitea,PF,72.9,scattered clouds,-23.1203,-134.9692,People ThankYou
6,Komsomolskiy,UZ,92.12,clear sky,40.4272,71.7189,Ikathouse
7,Salalah,OM,80.69,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
8,Hithadhoo,MV,82.38,broken clouds,-0.6,73.0833,Scoop Guest House
9,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
10,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
12,Kahului,US,78.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
15,Moron,AR,67.89,broken clouds,-34.6534,-58.6198,Hotel Morón
17,Jamestown,US,65.01,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
18,Oranjemund,,68.02,clear sky,-28.55,16.4333,The Fisherman's Cove
22,Hermanus,ZA,74.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
23,Atuona,PF,76.59,light rain,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
26,Carnarvon,AU,65.86,clear sky,-24.8667,113.6333,Hospitality Carnarvon
28,Puerto Ayora,EC,68.2,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Keti Bandar,PK,83.26,clear sky,24.1447,67.4497,Haji laloo memon house
33,Mwingi,KE,78.51,overcast clouds,-0.9344,38.0601,Thorn Tree by The Address
34,Hilo,US,75.27,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
35,Cape Town,ZA,66.27,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
37,Avarua,CK,73.45,few clouds,-21.2078,-159.775,Paradise Inn
39,Lorengau,PG,80.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
40,Berck,FR,75.27,broken clouds,50.4,1.6,Hôtel Régina & Spa
41,Alofi,NU,71.49,few clouds,-19.0595,-169.9187,Taloa Heights
42,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
43,Orodara,BF,81.25,light rain,10.9492,-4.9342,Bkf Orodara
46,Changde,CN,81.34,overcast clouds,29.0464,111.6783,Kangshida Hotel
47,Namibe,AO,70.43,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
50,Kilindoni,TZ,77.04,clear sky,-7.9139,39.6668,Bustani B&B
53,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
54,Mahebourg,MU,74.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
56,Butaritari,KI,81.95,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
60,Port Alfred,ZA,68.18,few clouds,-33.5906,26.891,The Halyards Hotel
61,Jackson,US,68.79,clear sky,42.4165,-122.8345,Agate Village Apartments
63,Chitral,PK,78.78,few clouds,35.8462,71.7858,PTDC Motel Chitral
64,Lahaina,US,78.8,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
66,Marsa Matruh,EG,84.4,clear sky,31.3525,27.2453,Beau Site
70,Sulangan,PH,84.27,overcast clouds,11.1373,123.7228,Maia's Beach Resort
71,Awjilah,LY,90.84,clear sky,29.1081,21.2869,المنزل
72,East London,ZA,68.94,few clouds,-33.0153,27.9116,Tu Casa
74,Bambous Virieux,MU,74.21,few clouds,-20.3428,57.7575,Casa Tia Villa
77,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
78,Yatou,CN,66.04,clear sky,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
79,Jalu,LY,90.81,clear sky,29.0331,21.5482,صاحبة الفخامة
83,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
84,Faanui,PF,78.24,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
86,Moroni,KM,82.4,scattered clouds,-11.7022,43.2551,Hotel Les Arcades
90,Laguna,US,85.78,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
