City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Seoul,KR,37.5683,126.9778,69.24,76,0,1.14,clear sky
1,Saldanha,ZA,-33.0117,17.9442,69.85,71,0,14.29,clear sky
2,Albany,US,42.6001,-73.9662,65.44,93,98,0.69,overcast clouds
3,Hirara,JP,24.8,125.2833,81.59,69,95,19.44,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,72.9,74,41,23.78,scattered clouds
5,Tasiilaq,GL,65.6145,-37.6368,44.76,92,100,2.95,overcast clouds
6,Komsomolskiy,UZ,40.4272,71.7189,92.12,22,0,4.61,clear sky
7,Salalah,OM,17.0151,54.0924,80.69,83,75,10.36,broken clouds
8,Hithadhoo,MV,-0.6,73.0833,82.38,73,77,14.27,broken clouds
9,Vaini,TO,-21.2,-175.2,73.56,88,40,3.44,scattered clouds
10,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,53,75,17.27,broken clouds
11,Saskylakh,RU,71.9167,114.0833,40.64,90,100,10.09,overcast clouds
12,Kahului,US,20.8947,-156.47,78.84,81,0,19.57,clear sky
13,Castro,BR,-24.7911,-50.0119,57.88,96,100,3.87,overcast clouds
14,Fort Morgan,US,40.2503,-103.8,62.02,48,0,5.75,clear sky
15,Moron,AR,-34.6534,-58.6198,67.89,57,80,7.65,broken clouds
16,Esperance,AU,-33.8667,121.9,55.24,74,44,21.97,scattered clouds
17,Jamestown,US,42.097,-79.2353,65.01,75,100,8.05,overcast clouds
18,Oranjemund,NA,-28.55,16.4333,68.02,47,0,13.18,clear sky
19,Provideniya,RU,64.3833,-173.3,42.94,86,90,7.34,overcast clouds
20,Brae,GB,60.3964,-1.353,56.86,94,100,23.06,light rain
21,Chokurdakh,RU,70.6333,147.9167,51.06,60,100,6.35,overcast clouds
22,Hermanus,ZA,-34.4187,19.2345,74.8,60,0,13.11,clear sky
23,Atuona,PF,-9.8,-139.0333,76.59,82,76,22.5,light rain
